id,category,sentence
712,calculations,Net income of 979 million pounds divided by 119 million shares gives earnings per share of 8.23 pounds.
713,concepts,"In economics and finance, quantitative easing involves a central bank buying financial assets to increase the money supply."
714,calculations,"The monthly payment on a 15-year amortizing loan of 320,000 euros at 2% annual interest is approximately 2,059.23 euros."
715,calculations,"A company with net income of 26,900,000 euros and average equity of 151,500,000 euros has a return on equity of 17.8%."
716,comparative,"The return on a convertible bond comes from coupon payments plus the option to convert into shares, while the return on a put option comes from payoff when the underlying price falls below the strike price."
717,calculations,An annual dividend of 4.48 pounds on a share priced at 57 pounds gives a dividend yield of 7.86%.
718,concepts,"In finance, an inverted yield curve occurs when short-term yields exceed long-term yields."
719,calculations,"A company with 822 million shares outstanding at a price of 420.04 dollars has a market capitalization of about 345,272.9 million dollars."
720,calculations,Net income of 205 million euros divided by 275 million shares gives earnings per share of 0.75 euros.
721,calculations,An annual dividend of 0.34 euros on a share priced at 209 euros gives a dividend yield of 0.16%.
722,calculations,"If revenue changes from 3,900 to 3,527 thousand euros, the percentage change is -9.6%."
723,calculations,"A company with net income of 3,400,000 dollars and average equity of 14,300,000 dollars has a return on equity of 23.8%."
724,calculations,"The present value of 82,000 euros received in 16 years, discounted at 3% per year, is about 51,099.69 euros."
725,instruments,A money market fund generates income through short-term interest income.
726,calculations,A share priced at 100 euros with earnings per share of 13.63 euros has a price-to-earnings ratio of about 7.3.
727,calculations,An annual dividend of 4.21 pounds on a share priced at 189 pounds gives a dividend yield of 2.23%.
728,calculations,"With annual compounding at 3.5%, 3,000 euros becomes approximately 3,442.57 euros in 4 years."
729,concepts,"From a financial perspective, the weighted average cost of capital is the average rate a company pays to finance its assets, weighted by the proportion of debt and equity."
730,calculations,An annual dividend of 4.34 pounds on a share priced at 44 pounds gives a dividend yield of 9.86%.
731,calculations,"Simple interest on 15,500 dollars at 4% for 10 years amounts to 6,200.00 dollars."
732,comparative,"The return on a real estate investment trust comes from rental income distributions and price changes, while the return on a certificate of deposit comes from fixed interest."
733,calculations,"A company with net income of 28,200,000 euros and average equity of 349,200,000 euros has a return on equity of 8.1%."
734,calculations,Net income of 992 million dollars divided by 310 million shares gives earnings per share of 3.20 dollars.
735,concepts,"From a financial perspective, a limit order is executed only at a specified price or better."
736,calculations,"The future value of 30,000 euros invested for 8 years at a 1% annual rate, compounded yearly, is about 32,485.70 euros."
737,ratios,Analysts use the return on assets to assess how efficiently a company uses its assets to generate profit.
738,calculations,"An asset whose price moves from 6,100 to 5,867 pounds has a return of -3.8%, excluding income."
739,concepts,Interest rate risk is the risk that changes in interest rates reduce the value of an investment.
740,calculations,An annual dividend of 8.25 euros on a share priced at 154 euros gives a dividend yield of 5.36%.
741,calculations,"The monthly payment on a 10-year amortizing loan of 135,000 pounds at 3.5% annual interest is approximately 1,334.96 pounds."
742,comparative,"An interest rate swap is a derivative, whereas a preferred stock is a hybrid security."
743,instruments,The return on a put option comes from payoff when the underlying price falls below the strike price.
744,concepts,"In economics and finance, the weighted average cost of capital is the average rate a company pays to finance its assets, weighted by the proportion of debt and equity."
745,calculations,"A bond with a face value of 1,000 pounds, a 4% annual coupon, and a price of 1,150 pounds has a current yield of about 3.48%. The bond trades at a premium."
746,ratios,The price-to-earnings ratio belongs to the family of valuation metrics.
747,ratios,Analysts use the enterprise value to EBITDA to assess a company's total value relative to its operating cash earnings.
748,calculations,"An asset whose price moves from 7,450 to 9,402 dollars has a return of +26.2%, excluding income."
749,comparative,"The return on a treasury bill comes from the discount between the purchase price and face value, while the return on a zero-coupon bond comes from the difference between the purchase price and face value."
750,calculations,A share priced at 205 euros with earnings per share of 13.24 euros has a price-to-earnings ratio of about 15.5.
751,comparative,"The return on a government bond comes from periodic coupon payments, while the return on a common stock comes from dividends and capital gains."
752,instruments,"In terms of risk, a call option carries high risk for the buyer, whose maximum loss is the premium."
753,calculations,"If a 5% coupon bond with a 1,000 pounds face value trades at 1,015 pounds, its current yield is approximately 4.93%. The bond trades at a premium."
754,calculations,"If earnings per share are 6.45 dollars and the share price is 24 dollars, the P/E ratio is approximately 3.7."
755,calculations,A share priced at 78 dollars with earnings per share of 2.56 dollars has a price-to-earnings ratio of about 30.5.
756,calculations,"Simple interest on 13,000 dollars at 5% for 9 years amounts to 5,850.00 dollars."
757,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a forward contract comes from gains or losses at settlement."
758,ratios,Analysts use the interest coverage ratio to assess how easily a company can pay interest on its debt.
759,concepts,"In economics and finance, the cash flow statement shows cash flows from operating, investing, and financing activities."
760,calculations,"With a nominal return of 4% and inflation of 1%, the real return is about 2.97% using the exact Fisher relation."
761,instruments,"Regarding the zero-coupon bond, it pays no periodic coupons and is sold at a discount to its face value."
762,calculations,Net income of 529 million euros divided by 21 million shares gives earnings per share of 25.19 euros.
763,calculations,"An asset whose price moves from 8,550 to 12,473 dollars has a return of +45.9%, excluding income."
764,calculations,"Net income of 43,200,000 dollars on shareholders' equity of 786,600,000 dollars corresponds to a return on equity of about 5.5%."
765,calculations,"An asset whose price moves from 3,150 to 2,838 pounds has a return of -9.9%, excluding income."
766,calculations,"Net income of 37,600,000 dollars on shareholders' equity of 649,000,000 dollars corresponds to a return on equity of about 5.8%."
767,calculations,"A bond with a face value of 1,000 pounds, a 2% annual coupon, and a price of 970 pounds has a current yield of about 2.06%. The bond trades at a discount."
768,calculations,"A bond with a face value of 1,000 dollars, a 7% annual coupon, and a price of 1,055 dollars has a current yield of about 6.64%. The bond trades at a premium."
769,calculations,Net income of 161 million dollars divided by 363 million shares gives earnings per share of 0.44 dollars.
770,calculations,"An asset whose price moves from 9,000 to 11,606 dollars has a return of +29.0%, excluding income."
771,calculations,An annual dividend of 6.80 dollars on a share priced at 37 dollars gives a dividend yield of 18.38%.
772,concepts,"In finance, rebalancing restores a portfolio to its target asset allocation."
773,comparative,"A corporate bond is a debt security, whereas an interest rate swap is a derivative."
774,calculations,Net income of 295 million dollars divided by 321 million shares gives earnings per share of 0.92 dollars.
775,instruments,A key feature of a government bond is that its price moves inversely to changes in market interest rates.
776,calculations,"At a simple interest rate of 5% per year, a principal of 9,000 dollars earns 1,350.00 dollars in interest over 3 years."
777,concepts,"In finance, a central bank manages a country's monetary policy and money supply."
778,instruments,A convertible bond is typically issued by companies.
779,calculations,"If revenue changes from 9,750 to 6,126 thousand euros, the percentage change is -37.2%."
780,calculations,Net income of 11 million dollars divided by 413 million shares gives earnings per share of 0.03 dollars.
781,comparative,"The return on a forward contract comes from gains or losses at settlement, while the return on a put option comes from payoff when the underlying price falls below the strike price."
782,calculations,"A company with 780 million shares outstanding at a price of 457.10 pounds has a market capitalization of about 356,538.0 million pounds."
783,comparative,"The return on a treasury bill comes from the discount between the purchase price and face value, while the return on a real estate investment trust comes from rental income distributions and price changes."
784,concepts,"In economics and finance, retained earnings are accumulated profits that have not been distributed as dividends."
785,comparative,"A treasury bill is a money market instrument, whereas a futures contract is a derivative."
786,calculations,"A company with current assets of 170 thousand pounds and current liabilities of 4,350 thousand pounds has a current ratio of 0.04."
787,calculations,"A company with current assets of 2,380 thousand pounds and current liabilities of 3,990 thousand pounds has a current ratio of 0.60."
788,calculations,"A loan of 195,000 pounds at a 5% annual rate, repaid monthly over 3 years, has a monthly payment of about 5,844.32 pounds."
789,calculations,"An investment of 10,500 pounds at 4% annual interest compounded annually grows to about 23,006.79 pounds after 20 years."
790,calculations,Net income of 380 million euros divided by 386 million shares gives earnings per share of 0.98 euros.
791,comparative,"A common stock is an equity security, whereas a treasury bill is a money market instrument."
792,concepts,"In finance, The Fisher equation links nominal interest rates, real interest rates, and expected inflation."
793,calculations,"The present value of 40,000 euros received in 3 years, discounted at 8% per year, is about 31,753.29 euros."
794,calculations,A share priced at 102 pounds with earnings per share of 2.50 pounds has a price-to-earnings ratio of about 40.8.
795,calculations,"The present value of 57,000 euros received in 16 years, discounted at 5% per year, is about 26,112.36 euros."
796,calculations,"The present value of 18,000 euros received in 15 years, discounted at 5% per year, is about 8,658.31 euros."
797,calculations,"If earnings per share are 3.16 pounds and the share price is 287 pounds, the P/E ratio is approximately 90.8."
798,calculations,Net income of 800 million euros divided by 470 million shares gives earnings per share of 1.70 euros.
799,calculations,"Net income of 27,100,000 euros on shareholders' equity of 206,000,000 euros corresponds to a return on equity of about 13.2%."
800,calculations,"An asset whose price moves from 9,100 to 9,863 pounds has a return of +8.4%, excluding income."
801,concepts,"From a financial perspective, free cash flow is the cash a company generates after capital expenditures."
802,calculations,"A company with 37 million shares outstanding at a price of 250.71 pounds has a market capitalization of about 9,276.3 million pounds."
803,ratios,The return on equity belongs to the family of profitability metrics.
804,calculations,"A company with current assets of 3,950 thousand euros and current liabilities of 4,460 thousand euros has a current ratio of 0.89."
805,calculations,"A bond with a face value of 1,000 dollars, a 5% annual coupon, and a price of 950 dollars has a current yield of about 5.26%. The bond trades at a discount."
806,calculations,"A company with 145 million shares outstanding at a price of 355.23 dollars has a market capitalization of about 51,508.4 million dollars."
807,concepts,"From a financial perspective, mergers and acquisitions involve the combination or purchase of companies."
808,calculations,"A company with 433 million shares outstanding at a price of 480.65 euros has a market capitalization of about 208,121.4 million euros."
809,comparative,"The return on a put option comes from payoff when the underlying price falls below the strike price, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
810,calculations,"The future value of 41,000 pounds invested for 16 years at a 6% annual rate, compounded yearly, is about 104,154.42 pounds."
811,calculations,Net income of 778 million euros divided by 274 million shares gives earnings per share of 2.84 euros.
812,calculations,"A company with 919 million shares outstanding at a price of 392.18 dollars has a market capitalization of about 360,413.4 million dollars."
813,calculations,"The present value of 36,000 pounds received in 17 years, discounted at 3% per year, is about 21,780.59 pounds."
814,calculations,"A loan of 355,000 dollars at a 3.5% annual rate, repaid monthly over 15 years, has a monthly payment of about 2,537.83 dollars."
815,comparative,"The return on a treasury bill comes from the discount between the purchase price and face value, while the return on a money market fund comes from short-term interest income."
816,comparative,"The return on a convertible bond comes from coupon payments plus the option to convert into shares, while the return on a treasury bill comes from the discount between the purchase price and face value."
817,concepts,"In economics and finance, customer due diligence involves assessing the risks associated with a business relationship."
818,calculations,"With a nominal return of 2% and inflation of 6%, the real return is about -3.77% using the exact Fisher relation."
819,calculations,"A bond with a face value of 1,000 dollars, a 3% annual coupon, and a price of 1,030 dollars has a current yield of about 2.91%. The bond trades at a premium."
820,calculations,Net income of 751 million dollars divided by 67 million shares gives earnings per share of 11.21 dollars.
821,calculations,"A bond with a face value of 1,000 euros, a 4% annual coupon, and a price of 850 euros has a current yield of about 4.71%. The bond trades at a discount."
822,concepts,"In finance, the real interest rate is the nominal interest rate adjusted for inflation."
823,instruments,"Regarding the exchange-traded fund, many are designed to track a market index passively."
824,calculations,"Net income of 8,800,000 dollars on shareholders' equity of 122,000,000 dollars corresponds to a return on equity of about 7.2%."
825,concepts,"From a financial perspective, the bid-ask spread is the difference between the highest price a buyer will pay and the lowest price a seller will accept."
826,calculations,"A company with current assets of 2,400 thousand dollars and current liabilities of 1,500 thousand dollars has a current ratio of 1.60."
827,calculations,"Net income of 29,500,000 pounds on shareholders' equity of 586,000,000 pounds corresponds to a return on equity of about 5.0%."
828,calculations,"At a simple interest rate of 3% per year, a principal of 15,750 dollars earns 472.50 dollars in interest over 1 years."
829,calculations,"At a simple interest rate of 4% per year, a principal of 4,250 dollars earns 170.00 dollars in interest over 1 years."
830,calculations,"An asset whose price moves from 7,000 to 7,448 pounds has a return of +6.4%, excluding income."
831,comparative,"The return on a mutual fund comes from distributions and changes in net asset value, while the return on a treasury bill comes from the discount between the purchase price and face value."
832,calculations,"A company with 489 million shares outstanding at a price of 116.50 dollars has a market capitalization of about 56,968.5 million dollars."
833,comparative,"The return on a call option comes from payoff when the underlying price rises above the strike price, while the return on a money market fund comes from short-term interest income."
834,comparative,"The return on a call option comes from payoff when the underlying price rises above the strike price, while the return on a preferred stock comes from fixed or floating dividends."
835,calculations,"If a 4% coupon bond with a 1,000 dollars face value trades at 925 dollars, its current yield is approximately 4.32%. The bond trades at a discount."
836,concepts,"As a general principle, depreciation allocates the cost of a tangible asset over its useful life."
837,concepts,"As a general principle, the internal rate of return is the discount rate at which a project's net present value equals zero."
838,calculations,"A loan of 305,000 euros at a 4.5% annual rate, repaid monthly over 30 years, has a monthly payment of about 1,545.39 euros."
839,instruments,"Regarding the zero-coupon bond, its Macaulay duration equals its time to maturity."
840,calculations,"Discounting 52,000 pounds due in 12 years at an annual rate of 4% gives a present value of approximately 32,479.05 pounds."
841,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a real estate investment trust comes from rental income distributions and price changes."
842,calculations,"The monthly payment on a 20-year amortizing loan of 95,000 dollars at 6% annual interest is approximately 680.61 dollars."
843,calculations,"A company with current assets of 2,330 thousand dollars and current liabilities of 2,570 thousand dollars has a current ratio of 0.91."
844,comparative,"The return on a real estate investment trust comes from rental income distributions and price changes, while the return on an exchange-traded fund comes from distributions and price changes."
845,calculations,"At a simple interest rate of 4% per year, a principal of 6,250 euros earns 1,750.00 euros in interest over 7 years."
846,calculations,"A company with 88 million shares outstanding at a price of 321.80 pounds has a market capitalization of about 28,318.4 million pounds."
847,calculations,"Net income of 38,500,000 euros on shareholders' equity of 225,900,000 euros corresponds to a return on equity of about 17.0%."
848,instruments,A key feature of a corporate bond is that its holders rank ahead of shareholders in a bankruptcy.
849,comparative,"The return on a call option comes from payoff when the underlying price rises above the strike price, while the return on an interest rate swap comes from net exchanged interest payments."
850,concepts,"In finance, correlation measures how closely the returns of two assets move together."
851,calculations,"A company with current assets of 4,510 thousand pounds and current liabilities of 1,520 thousand pounds has a current ratio of 2.97."
852,comparative,"An exchange-traded fund is a pooled investment vehicle, whereas a futures contract is a derivative."
853,calculations,"If a 2% coupon bond with a 1,000 euros face value trades at 900 euros, its current yield is approximately 2.22%. The bond trades at a discount."
854,calculations,"The future value of 15,000 euros invested for 4 years at a 3.5% annual rate, compounded yearly, is about 17,212.85 euros."
855,comparative,"A treasury bill is a money market instrument, whereas a call option is a derivative."
856,calculations,"If revenue changes from 7,500 to 11,072 thousand pounds, the percentage change is +47.6%."
857,comparative,"The return on a futures contract comes from gains or losses from price changes in the underlying asset, while the return on a call option comes from payoff when the underlying price rises above the strike price."
858,ratios,Analysts use the operating margin to assess the share of revenue remaining after operating expenses.
859,instruments,An exchange-traded fund generates income through distributions and price changes.
860,calculations,"A company with 961 million shares outstanding at a price of 91.56 dollars has a market capitalization of about 87,989.2 million dollars."
861,calculations,A share priced at 152 dollars with earnings per share of 14.40 dollars has a price-to-earnings ratio of about 10.6.
862,calculations,"Simple interest on 7,250 pounds at 6% for 2 years amounts to 870.00 pounds."
863,calculations,"A company with net income of 13,100,000 dollars and average equity of 160,300,000 dollars has a return on equity of 8.2%."
864,comparative,"The return on a mutual fund comes from distributions and changes in net asset value, while the return on a government bond comes from periodic coupon payments."
865,calculations,A share priced at 166 euros with earnings per share of 5.54 euros has a price-to-earnings ratio of about 30.0.
866,calculations,"If earnings per share are 0.72 dollars and the share price is 38 dollars, the P/E ratio is approximately 52.8."
867,ratios,The cash ratio is a liquidity ratio.
868,instruments,A real estate investment trust is typically that owns or finances income-producing property.
869,calculations,"The monthly payment on a 25-year amortizing loan of 65,000 euros at 3.5% annual interest is approximately 325.41 euros."
870,concepts,"As a general principle, the bid-ask spread is the difference between the highest price a buyer will pay and the lowest price a seller will accept."
871,calculations,"Net income of 13,300,000 dollars on shareholders' equity of 92,500,000 dollars corresponds to a return on equity of about 14.4%."
872,concepts,"In economics and finance, The Sharpe ratio measures excess return per unit of total risk."
873,instruments,The return on a preferred stock comes from fixed or floating dividends.
874,comparative,"A forward contract is a derivative, whereas a mortgage-backed security is an asset-backed security."
875,calculations,"A company with 105 million shares outstanding at a price of 495.49 dollars has a market capitalization of about 52,026.5 million dollars."
876,calculations,A nominal interest rate of 10% combined with 1% inflation implies a real interest rate of approximately 8.91%.
877,calculations,"A company with current assets of 3,830 thousand euros and current liabilities of 4,740 thousand euros has a current ratio of 0.81."
878,calculations,"If earnings per share are 7.89 euros and the share price is 28 euros, the P/E ratio is approximately 3.5."
879,calculations,"A company with 102 million shares outstanding at a price of 243.59 pounds has a market capitalization of about 24,846.2 million pounds."
880,comparative,"The return on a common stock comes from dividends and capital gains, while the return on a call option comes from payoff when the underlying price rises above the strike price."
881,comparative,"The return on a treasury bill comes from the discount between the purchase price and face value, while the return on a corporate bond comes from periodic coupon payments."
882,comparative,"The return on a futures contract comes from gains or losses from price changes in the underlying asset, while the return on a put option comes from payoff when the underlying price falls below the strike price."
883,calculations,"A bond with a face value of 1,000 euros, a 5% annual coupon, and a price of 1,020 euros has a current yield of about 4.90%. The bond trades at a premium."
884,concepts,"As a general principle, the cash flow statement shows cash flows from operating, investing, and financing activities."
885,comparative,"A convertible bond is a hybrid security, whereas a treasury bill is a money market instrument."
886,comparative,"The return on an exchange-traded fund comes from distributions and price changes, while the return on a zero-coupon bond comes from the difference between the purchase price and face value."
887,comparative,"The return on a zero-coupon bond comes from the difference between the purchase price and face value, while the return on a government bond comes from periodic coupon payments."
888,calculations,"A bond with a face value of 1,000 dollars, a 6% annual coupon, and a price of 900 dollars has a current yield of about 6.67%. The bond trades at a discount."
889,comparative,"A forward contract is a derivative, whereas a preferred stock is a hybrid security."
890,calculations,Net income of 152 million euros divided by 333 million shares gives earnings per share of 0.46 euros.
891,ratios,"In financial statement analysis, the price-to-book ratio, defined as market price per share divided by book value per share, indicates the market value of equity relative to its accounting value."
892,concepts,"As a general principle, currency risk arises when the value of an investment changes because of exchange rate movements."
893,calculations,"A company with net income of 42,700,000 euros and average equity of 768,300,000 euros has a return on equity of 5.6%."
894,calculations,"A company with net income of 15,700,000 pounds and average equity of 168,500,000 pounds has a return on equity of 9.3%."
895,ratios,"In financial statement analysis, the operating margin, defined as operating income divided by revenue, indicates the share of revenue remaining after operating expenses."
896,calculations,"Net income of 25,200,000 euros on shareholders' equity of 487,000,000 euros corresponds to a return on equity of about 5.2%."
897,comparative,"A certificate of deposit is a time deposit, whereas a common stock is an equity security."
898,calculations,"If a 6% coupon bond with a 1,000 pounds face value trades at 1,015 pounds, its current yield is approximately 5.91%. The bond trades at a premium."
899,concepts,"From a financial perspective, collateral is an asset pledged by a borrower to secure a loan."
900,concepts,"In finance, the yield to maturity is the discount rate that equates a bond's price with the present value of its cash flows."
901,comparative,"The return on a mortgage-backed security comes from principal and interest payments passed through from borrowers, while the return on a treasury bill comes from the discount between the purchase price and face value."
902,calculations,"If a 4% coupon bond with a 1,000 pounds face value trades at 885 pounds, its current yield is approximately 4.52%. The bond trades at a discount."
903,calculations,"A bond with a face value of 1,000 euros, a 5% annual coupon, and a price of 990 euros has a current yield of about 5.05%. The bond trades at a discount."
904,calculations,Net income of 820 million dollars divided by 268 million shares gives earnings per share of 3.06 dollars.
905,comparative,"The return on a forward contract comes from gains or losses at settlement, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
906,calculations,"A company with current assets of 3,590 thousand euros and current liabilities of 3,870 thousand euros has a current ratio of 0.93."
907,calculations,"Discounting 61,000 euros due in 5 years at an annual rate of 10% gives a present value of approximately 37,876.20 euros."
908,calculations,"A loan of 10,000 pounds at a 3% annual rate, repaid monthly over 5 years, has a monthly payment of about 179.69 pounds."
909,concepts,"In economics and finance, a recession is commonly described as a significant decline in economic activity lasting several months."
910,calculations,"A company with 826 million shares outstanding at a price of 224.56 pounds has a market capitalization of about 185,486.6 million pounds."
911,calculations,"The present value of 41,000 euros received in 11 years, discounted at 8% per year, is about 17,584.20 euros."
912,calculations,"Discounting 50,000 dollars due in 18 years at an annual rate of 3% gives a present value of approximately 29,369.73 dollars."
913,comparative,"An interest rate swap is a derivative, whereas a treasury bill is a money market instrument."
914,calculations,"A company with 59 million shares outstanding at a price of 78.26 dollars has a market capitalization of about 4,617.3 million dollars."
915,calculations,"A company with net income of 36,100,000 dollars and average equity of 137,800,000 dollars has a return on equity of 26.2%."
916,instruments,"Regarding the certificate of deposit, it requires the depositor to leave funds in place for a fixed term."
917,calculations,"Discounting 1,000 euros due in 16 years at an annual rate of 6% gives a present value of approximately 393.65 euros."
918,calculations,A share priced at 49 euros with earnings per share of 11.17 euros has a price-to-earnings ratio of about 4.4.
919,ratios,The earnings per share is calculated as net income available to common shareholders divided by the weighted average number of common shares outstanding.
920,calculations,An annual dividend of 1.71 pounds on a share priced at 272 pounds gives a dividend yield of 0.63%.
921,calculations,"Discounting 56,000 pounds due in 13 years at an annual rate of 6% gives a present value of approximately 26,254.99 pounds."
922,instruments,"Regarding the common stock, its holders usually have voting rights at shareholder meetings."
923,calculations,An annual dividend of 8.45 pounds on a share priced at 81 pounds gives a dividend yield of 10.43%.
924,calculations,"A company with current assets of 4,810 thousand pounds and current liabilities of 3,350 thousand pounds has a current ratio of 1.44."
925,concepts,Customer due diligence involves assessing the risks associated with a business relationship.
926,calculations,"An investment of 41,500 pounds at 3% annual interest compounded annually grows to about 57,445.71 pounds after 11 years."
927,concepts,"In economics and finance, free cash flow is the cash a company generates after capital expenditures."
928,calculations,"If a 7% coupon bond with a 1,000 euros face value trades at 1,050 euros, its current yield is approximately 6.67%. The bond trades at a premium."
929,calculations,"Discounting 33,000 pounds due in 8 years at an annual rate of 8% gives a present value of approximately 17,828.87 pounds."
930,calculations,"A bond with a face value of 1,000 pounds, a 5% annual coupon, and a price of 970 pounds has a current yield of about 5.15%. The bond trades at a discount."
931,calculations,"A loan of 115,000 euros at a 4% annual rate, repaid monthly over 20 years, has a monthly payment of about 696.88 euros."
932,calculations,"Discounting 43,000 pounds due in 17 years at an annual rate of 4% gives a present value of approximately 22,075.05 pounds."
933,comparative,"A government bond is a debt security, whereas a treasury bill is a money market instrument."
934,calculations,"A company with current assets of 600 thousand pounds and current liabilities of 1,300 thousand pounds has a current ratio of 0.46."
935,ratios,The return on equity is a profitability ratio.
936,calculations,"A company with current assets of 1,770 thousand euros and current liabilities of 4,500 thousand euros has a current ratio of 0.39."
937,comparative,"A treasury bill is a money market instrument, whereas a preferred stock is a hybrid security."
938,calculations,"The monthly payment on a 10-year amortizing loan of 390,000 pounds at 2% annual interest is approximately 3,588.52 pounds."
939,calculations,"Discounting 42,000 euros due in 11 years at an annual rate of 6% gives a present value of approximately 22,125.08 euros."
940,calculations,"Simple interest on 17,250 dollars at 6% for 5 years amounts to 5,175.00 dollars."
941,calculations,"An asset whose price moves from 4,950 to 5,278 euros has a return of +6.6%, excluding income."
942,calculations,"The present value of 14,000 dollars received in 9 years, discounted at 2% per year, is about 11,714.57 dollars."
943,concepts,A share buyback reduces the number of shares outstanding.
944,calculations,"Net income of 18,800,000 dollars on shareholders' equity of 85,700,000 dollars corresponds to a return on equity of about 21.9%."
945,comparative,"The return on a certificate of deposit comes from fixed interest, while the return on a corporate bond comes from periodic coupon payments."
946,instruments,"Regarding liquidity, a treasury bill offers very high liquidity."
947,calculations,Net income of 672 million dollars divided by 348 million shares gives earnings per share of 1.93 dollars.
948,calculations,"Net income of 9,600,000 pounds on shareholders' equity of 135,600,000 pounds corresponds to a return on equity of about 7.1%."
949,calculations,"If earnings per share are 10.09 pounds and the share price is 250 pounds, the P/E ratio is approximately 24.8."
950,calculations,Net income of 585 million euros divided by 462 million shares gives earnings per share of 1.27 euros.
951,calculations,"A bond with a face value of 1,000 pounds, a 6% annual coupon, and a price of 1,115 pounds has a current yield of about 5.38%. The bond trades at a premium."
952,calculations,"If earnings per share are 14.82 pounds and the share price is 190 pounds, the P/E ratio is approximately 12.8."
953,calculations,"A loan of 205,000 pounds at a 4% annual rate, repaid monthly over 20 years, has a monthly payment of about 1,242.26 pounds."
954,calculations,"Net income of 13,700,000 euros on shareholders' equity of 205,100,000 euros corresponds to a return on equity of about 6.7%."
955,instruments,A key feature of a common stock is that it represents a residual ownership claim on a company's assets and earnings.
956,calculations,"A bond with a face value of 1,000 euros, a 4% annual coupon, and a price of 935 euros has a current yield of about 4.28%. The bond trades at a discount."
957,calculations,"A company with 411 million shares outstanding at a price of 178.45 dollars has a market capitalization of about 73,342.9 million dollars."
958,concepts,Short selling involves selling borrowed securities in the expectation of buying them back at a lower price.
959,calculations,"A company with 448 million shares outstanding at a price of 264.60 dollars has a market capitalization of about 118,540.8 million dollars."
960,calculations,"The monthly payment on a 15-year amortizing loan of 10,000 euros at 5% annual interest is approximately 79.08 euros."
961,concepts,"In finance, goodwill arises when a company acquires another business for more than the fair value of its identifiable net assets."
962,instruments,A key feature of a mutual fund is that its units are priced at net asset value calculated at the end of each trading day.
963,calculations,"The future value of 19,500 euros invested for 18 years at a 2% annual rate, compounded yearly, is about 27,850.80 euros."
964,calculations,"At a simple interest rate of 4% per year, a principal of 16,750 pounds earns 2,010.00 pounds in interest over 3 years."
965,instruments,A preferred stock is a hybrid security.
966,calculations,"A bond with a face value of 1,000 dollars, a 7% annual coupon, and a price of 950 dollars has a current yield of about 7.37%. The bond trades at a discount."
967,calculations,Net income of 622 million euros divided by 265 million shares gives earnings per share of 2.35 euros.
968,calculations,"If revenue changes from 8,550 to 5,550 thousand euros, the percentage change is -35.1%."
969,calculations,"If revenue changes from 3,900 to 2,950 thousand pounds, the percentage change is -24.4%."
970,calculations,"A loan of 235,000 euros at a 2% annual rate, repaid monthly over 20 years, has a monthly payment of about 1,188.83 euros."
971,calculations,"Discounting 38,000 euros due in 12 years at an annual rate of 5% gives a present value of approximately 21,159.82 euros."
972,comparative,"A real estate investment trust is a pooled investment vehicle, whereas a government bond is a debt security."
973,calculations,"The future value of 16,500 euros invested for 21 years at a 1% annual rate, compounded yearly, is about 20,334.47 euros."
974,calculations,"An asset whose price moves from 8,950 to 14,156 pounds has a return of +58.2%, excluding income."
975,comparative,"The return on a government bond comes from periodic coupon payments, while the return on a mutual fund comes from distributions and changes in net asset value."
976,comparative,"The return on a common stock comes from dividends and capital gains, while the return on a futures contract comes from gains or losses from price changes in the underlying asset."
977,calculations,"If revenue changes from 7,650 to 8,961 thousand dollars, the percentage change is +17.1%."
978,calculations,"A company with 687 million shares outstanding at a price of 94.58 euros has a market capitalization of about 64,976.5 million euros."
979,calculations,A company with current assets of 800 thousand dollars and current liabilities of 160 thousand dollars has a current ratio of 5.00.
980,instruments,The return on a futures contract comes from gains or losses from price changes in the underlying asset.
981,calculations,"With annual compounding at 3%, 11,500 euros becomes approximately 20,770.28 euros in 20 years."
982,calculations,"The present value of 45,000 dollars received in 16 years, discounted at 5% per year, is about 20,615.02 dollars."
983,calculations,Net income of 57 million dollars divided by 406 million shares gives earnings per share of 0.14 dollars.
984,instruments,"Regarding the treasury bill, it is commonly used as a proxy for a short-term risk-free asset."
985,instruments,"A key feature of a futures contract is that it is marked to market daily, with gains and losses settled through margin accounts."
986,calculations,"If a 6% coupon bond with a 1,000 pounds face value trades at 930 pounds, its current yield is approximately 6.45%. The bond trades at a discount."
987,calculations,"The present value of 45,000 pounds received in 13 years, discounted at 3% per year, is about 30,642.81 pounds."
988,concepts,"From a financial perspective, retained earnings are accumulated profits that have not been distributed as dividends."
989,calculations,"An investment of 16,000 pounds at 3.5% annual interest compounded annually grows to about 17,739.49 pounds after 3 years."
990,instruments,A key feature of a preferred stock is that its dividends must usually be paid before any dividends on common stock.
991,calculations,"An asset whose price moves from 3,550 to 3,585 pounds has a return of +1.0%, excluding income."
992,comparative,"The return on a treasury bill comes from the discount between the purchase price and face value, while the return on a forward contract comes from gains or losses at settlement."
993,ratios,"To compute the net profit margin, divide as follows: net income divided by revenue."
994,comparative,"The return on a put option comes from payoff when the underlying price falls below the strike price, while the return on a zero-coupon bond comes from the difference between the purchase price and face value."
995,comparative,"The return on a zero-coupon bond comes from the difference between the purchase price and face value, while the return on a mutual fund comes from distributions and changes in net asset value."
